Frames,Average Velocity,Standard deviation of velocity 
706,0.984318532,1.271731078
707,0.96375263,1.192927457
708,0.845172042,1.139649663
709,0.897081938,1.045548874
710,0.893520646,1.079675896
711,0.901795878,1.179174502
712,0.9793367,1.292113094
713,1.029783417,1.421049753
714,1.053261479,1.493183083
715,1.077626958,1.434084695
716,0.917430035,1.318657824
717,0.865361729,1.143057831
718,0.758063742,1.091335455
719,0.788922644,1.083528125
720,0.765303842,1.154386654
721,0.812139917,1.216266915
722,0.791412856,1.212632966
723,0.829922377,1.141033543
724,0.900649188,1.085759475
725,0.926165413,1.134623816
726,0.991855364,1.198915414
727,1.043287481,1.264789749
728,1.054878689,1.317577674
729,1.067496366,1.329740067
730,1.023469594,1.285179223
731,0.949629596,1.191821655
732,0.921006426,1.117082073
733,0.875769915,1.127938986
734,0.889561289,1.12970151
735,0.826811349,1.151489119
736,0.814120121,1.150469448
737,0.818899548,1.121632459
738,0.821545517,1.085491305
739,0.868217539,1.051797249
740,0.792979548,1.095350999
741,0.752406891,1.210162728
742,0.837012196,1.402703786
743,0.927775515,1.595168912
744,0.918121707,1.659526286
745,0.949675909,1.487625997
746,0.84351065,1.287830162
747,0.750943907,1.106953276
748,0.707592917,0.967999417
749,0.64056232,0.892237031
750,0.657233413,0.833206567
751,0.677904913,0.867790362
752,0.692748413,0.907354402
753,0.701919791,0.915565717
754,0.707801129,0.975258416
755,0.73886928,1.158747482
756,0.798680761,1.380007963
757,0.925521675,1.50382212
758,0.9009424,1.540519267
759,0.832021861,1.506465071
760,0.792372409,1.425413944
761,0.797905434,1.365114958
762,0.712755244,1.348838287
763,0.776389151,1.302038406
764,0.770446169,1.320329092
765,0.811045978,1.296076809
766,0.791917682,1.215546527
767,0.747984163,1.099164428
768,0.649342677,0.945138324
769,0.534070309,0.90085615
770,0.686684733,0.858673864
771,0.796492676,0.995901316
772,0.822452511,1.145189947
773,0.892147754,1.170790696
774,0.878860326,1.221505371
775,0.952192128,1.282375158
776,1.018785848,1.361991887
777,0.972411017,1.422980999
778,0.975070976,1.373269507
779,0.949763478,1.298700048
780,0.910469765,1.242648171
781,0.941867178,1.18473133
782,0.885040941,1.198640548
783,0.941997022,1.236119824
784,1.043479557,1.342213593
785,1.040514617,1.511576813
